"PROTEIN","FBgn","FBgn_mel","SYMBOL","Sec","Unique.peptides","LFQ.intensity.CAG_1A","LFQ.intensity.CAG_1B","LFQ.intensity.CAG_2_1","LFQ.intensity.CAG_2_2","LFQ.intensity.CAG_3","LFQ.intensity.CEB_1A","LFQ.intensity.CEB_1B","LFQ.intensity.CEB_2_1","LFQ.intensity.CEB_2_2","LFQ.intensity.CEB_3","LFQ.intensity.VAG_1A","LFQ.intensity.VAG_1B","LFQ.intensity.VAG_2_1","LFQ.intensity.VAG_2_2","LFQ.intensity.VAG_3","LFQ.intensity.VEB_1A","LFQ.intensity.VEB_1B","LFQ.intensity.VEB_2_1","LFQ.intensity.VEB_2_2","LFQ.intensity.VEB_3"
"augustus_masked-scaffold1008-size69378-abinit-gene-0.5-mRNA-1","FBgn0197703","FBgn0038145","GJ10422",NA,12,41019000,33075000,37052000,35422000,31698000,81497000,78593000,59662000,59266000,76276000,43188000,39318000,41516000,41009000,36494000,84275000,72894000,80553000,91372000,81985000
"augustus_masked-scaffold1008-size69378-abinit-gene-0.9-mRNA-1","FBgn0198024","FBgn0086371","GJ10747",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4014800,0
"augustus_masked-scaffold1019-size110373-abinit-gene-0.2-mRNA-1","FBgn0210743","FBgn0039215","GJ23646",NA,2,0,0,0,0,0,4910100,5630600,8696900,8827900,6916300,0,0,0,0,0,5744400,7748900,6067800,6486300,8082700
"augustus_masked-scaffold101-size120241-abinit-gene-0.4-mRNA-1","FBgn0201887","FBgn0032820","GJ14680",NA,3,0,0,0,0,0,7644100,7418000,11664000,10802000,7396400,0,0,5366600,0,0,11502000,14926000,12554000,9582700,16077000
"augustus_masked-scaffold1022-size75351-abinit-gene-0.2-mRNA-1","FBgn0201573","FBgn0016120","GJ14360",NA,11,95764000,67694000,83930000,89169000,76432000,115540000,112160000,59265000,74487000,82109000,83571000,82111000,100790000,96551000,85912000,91233000,85723000,78593000,93608000,55170000
"augustus_masked-scaffold1032-size44425-abinit-gene-0.2-mRNA-1","FBgn0202438","FBgn0027359","GJ15242",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7738700
"augustus_masked-scaffold1039-size117771-abinit-gene-1.0-mRNA-1","FBgn0198593",NA,"GJ11333","Sec",8,664220000,492500000,686860000,689580000,639050000,0,0,0,0,0,821660000,813320000,814960000,783800000,898130000,0,0,0,0,0
"augustus_masked-scaffold103-size49482-abinit-gene-0.1-mRNA-1","FBgn0208385","FBgn0034753","GJ21252","Sfp",17,1862400000,1427900000,2013200000,2089200000,1764700000,169210000,153220000,168560000,162360000,216810000,2010400000,2153600000,2079900000,1961700000,2382600000,185760000,163720000,201400000,186090000,289530000
"augustus_masked-scaffold103-size49482-abinit-gene-0.2-mRNA-1","FBgn0208386","FBgn0040091","GJ21253",NA,3,53478000,69256000,54431000,56733000,80395000,25744000,24127000,44792000,41934000,36541000,49477000,51106000,67314000,71107000,64406000,36876000,38740000,45731000,42423000,31898000
"augustus_masked-scaffold103-size49482-abinit-gene-0.5-mRNA-1","FBgn0208390","FBgn0034748","GJ21257",NA,2,7218300,0,0,5319300,4434800,10376000,9691700,7387400,4581200,0,4559300,0,0,0,0,5996400,6727600,0,4341200,6886400
