"Col_logFC","adj.P.Val.x","id","pop.x","s.x","Van_logFC","adj.P.Val.y","pop.y","s.y","concord","up_in","sig","FBgn","FBgn_mel","Sec","SYMBOL"
6.20291146906912,1.59075067739951e-10,"maker-scaffold618-size136712-augustus-gene-0.23-mRNA-1","Col",1,5.7737565139138,1.34288884969799e-08,"Van",1,"same","Ag","sig",NA,NA,NA,NA
6.2713586387838,2.47363440881452e-10,"maker-scaffold1-size140626-snap-gene-0.50-mRNA-1","Col",1,4.55101788510726,9.41095654517859e-12,"Van",1,"same","Ag","sig","FBgn0201080","FBgn0027611",NA,"GJ13861"
3.38784920402975,2.47363440881452e-10,"maker-scaffold589-size50722-snap-gene-0.29-mRNA-1","Col",1,4.32573093659494,1.44993734774678e-11,"Van",1,"same","Ag","sig","FBgn0207831","FBgn0033879",NA,"GJ20693"
2.52869570965573,2.94100367356847e-10,"maker-scaffold558-size68566-augustus-gene-0.20-mRNA-1","Col",1,2.12849961532442,8.88426012018837e-12,"Van",1,"same","Ag","sig","FBgn0198727","FBgn0286818","Sfp","GJ11469"
2.60350061355006,6.58468529379295e-10,"snap_masked-scaffold3-size168552-abinit-gene-0.19-mRNA-1","Col",1,2.224204015958,9.29748346180142e-11,"Van",1,"same","Ag","sig","FBgn0197681","FBgn0039562","Sfp",NA
2.48238524000744,9.19032264808455e-10,"augustus_masked-scaffold43-size134806-abinit-gene-0.2-mRNA-1","Col",1,2.12108994953742,2.04135668814553e-10,"Van",1,"same","Ag","sig","FBgn0204627","FBgn0025678","Sec","GJ17455"
2.14066256343617,9.5632690020436e-10,"maker-scaffold1312-size64442-snap-gene-0.14-mRNA-1","Col",1,2.01426207156758,3.35862633121139e-09,"Van",1,"same","Ag","sig","FBgn0207254","FBgn0034277","Sec","GJ20114"
9.90806033398438,1.6201404297906e-09,"augustus_masked-scaffold458-size88788-abinit-gene-0.0-mRNA-1","Col",1,10.1820642056484,8.6075271695551e-14,"Van",1,"same","Ag","sig","FBgn0199167",NA,NA,"GJ11914"
2.62195182967981,1.6201404297906e-09,"maker-scaffold294-size82556-snap-gene-0.60-mRNA-1","Col",1,2.10304941720042,2.26016482885e-09,"Van",1,"same","Ag","sig","FBgn0200155","FBgn0261243",NA,"GJ12921"
3.38586535987605,2.21413902500522e-09,"augustus_masked-scaffold103-size49482-abinit-gene-0.1-mRNA-1","Col",1,3.3157377130352,6.10342928335567e-11,"Van",1,"same","Ag","sig","FBgn0208385","FBgn0034753","Sfp","GJ21252"
6.5743498041069,3.51837422651046e-09,"maker-scaffold13-size125346-augustus-gene-0.44-mRNA-1","Col",1,5.72048363176354,3.94821973614578e-10,"Van",1,"same","Ag","sig","FBgn0200753","FBgn0036824","Sec","GJ13529"
3.85753426902693,3.51837422651046e-09,"maker-scaffold568-size93449-augustus-gene-0.45-mRNA-1","Col",1,3.1650055394728,5.44444078092785e-10,"Van",1,"same","Ag","sig","FBgn0200126","FBgn0040308","Sfp","GJ12891"
1.63254196601549,3.76439352592391e-09,"maker-scaffold655-size37790-augustus-gene-0.16-mRNA-1","Col",1,1.07175869546488,3.35862633121139e-09,"Van",1,"same","Ag","sig","FBgn0205549","FBgn0033663","Sec","GJ18390"
2.72402158626095,3.76439352592391e-09,"maker-scaffold596-size59921-augustus-gene-0.26-mRNA-1","Col",1,2.72304085872303,2.57459856813135e-09,"Van",1,"same","Ag","sig","FBgn0210399","FBgn0262801",NA,"GJ23297"
1.73239108197734,8.65308921991756e-09,"maker-scaffold4938-size10158-snap-gene-0.0-mRNA-1","Col",1,1.73456865442094,2.6151516234876e-08,"Van",1,"same","Ag","sig","FBgn0202128","FBgn0053303","Sec","GJ14925"
1.64936129124948,8.71815173192727e-09,"snap_masked-scaffold1317-size67552-abinit-gene-0.22-mRNA-1","Col",1,1.65300158472272,1.22787671542653e-08,"Van",1,"same","Ag","sig","FBgn0205669","FBgn0014868",NA,NA
