"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"maker-scaffold689-size43434-augustus-gene-0.14-mRNA-1","00003","3",0.069,385.5,115.5,0.0494,0.0042,0.0857,1.6,9.9
"snap_masked-scaffold689-size43434-abinit-gene-0.10-mRNA-1","00005","5",0.153,300.3,89.7,0.0649,0.0118,0.1817,3.5,16.3
"snap_masked-scaffold689-size43434-abinit-gene-0.9-mRNA-1","00006","6",0.137,1236.1,350.9,0.042,0.0076,0.1802,9.4,63.2
"maker-scaffold2485-size22527-augustus-gene-0.7-mRNA-1","00008","8",0.014,1939.1,478.9,0.0308,6e-04,0.0206,1.2,9.9
"maker-scaffold2485-size22527-snap-gene-0.12-mRNA-1","00009","9",0.079,5458.1,1051.9,0.0069,0.0011,0.1576,6,165.8
"maker-scaffold1645-size58039-augustus-gene-0.11-mRNA-1","00011","11",0.069,1683.8,476.2,0.0227,0.0022,0.0971,3.7,46.3
"maker-scaffold1645-size58039-snap-gene-0.15-mRNA-1","00012","12",0.025,1049.1,180.9,0.0795,0.003,0.0383,3.2,6.9
"maker-scaffold1645-size58039-augustus-gene-0.14-mRNA-1","00014","14",0.124,3829.1,1000.9,0.1037,0.0148,0.1429,56.8,143
"maker-scaffold1379-size23657-augustus-gene-0.4-mRNA-1","00016","16",0.119,688,206,0.0691,0.0097,0.14,6.7,28.8
"maker-scaffold1379-size23657-snap-gene-0.8-mRNA-1","00017","17",0.095,2795.1,855.9,0.1309,0.0124,0.0947,34.6,81
"maker-scaffold3101-size13417-snap-gene-0.11-mRNA-1","00020","20",0.393,456.8,131.2,0.308,0.0873,0.2833,39.9,37.2
"maker-scaffold761-size72389-snap-gene-0.19-mRNA-1","00024","24",0.073,955.2,265.8,0.1399,0.0104,0.0744,9.9,19.8
"maker-scaffold1621-size50638-snap-gene-0.10-mRNA-1","00033","33",0.102,1178.8,327.2,0.0354,0.0049,0.1393,5.8,45.6
"augustus_masked-scaffold2953-size12538-abinit-gene-0.1-mRNA-1","00039","39",0.053,224.1,57.9,0.1495,0.0082,0.0546,1.8,3.2
"augustus_masked-scaffold2459-size8638-abinit-gene-0.0-mRNA-1","00046","46",0.058,815.9,195.1,0.0896,0.0065,0.0724,5.3,14.1
"maker-scaffold1741-size58143-augustus-gene-0.30-mRNA-1","00049","49",0.083,1761.6,443.4,0.0569,0.0063,0.1116,11.2,49.5
"maker-scaffold1741-size58143-augustus-gene-0.33-mRNA-1","00050","50",0.087,242.3,57.7,0.0475,0.0059,0.1251,1.4,7.2
"augustus_masked-scaffold1741-size58143-abinit-gene-0.3-mRNA-1","00056","56",0.03,415.3,118.7,0.0819,0.0029,0.0355,1.2,4.2
"augustus_masked-scaffold1741-size58143-abinit-gene-0.6-mRNA-1","00057","57",0.027,273.1,92.9,0.1197,0.0032,0.0265,0.9,2.5
"maker-scaffold1741-size58143-augustus-gene-0.37-mRNA-1","00058","58",0.09,701.7,189.3,0.0399,0.0049,0.1236,3.5,23.4
"maker-scaffold1741-size58143-augustus-gene-0.38-mRNA-1","00059","59",0.092,962.6,270.4,0.1548,0.0139,0.0898,13.4,24.3
"maker-scaffold1741-size58143-snap-gene-0.45-mRNA-1","00060","60",0.029,1208,343,0.0364,0.0014,0.0388,1.7,13.3
"augustus_masked-scaffold701-size66642-abinit-gene-0.9-mRNA-1","00062","62",0.081,1530.6,410.4,0.0503,0.0054,0.107,8.2,43.9
